date,eid,cid,rate
2022-04-06 01:00:00,2,ETH,3360.54
2022-04-06 01:00:00,3,ETH,3359.22
2022-04-06 01:00:00,4,ETH,3359
2022-04-06 01:00:00,5,ETH,3360.2
2022-04-06 01:00:00,1,LTC,120.1
2022-04-06 01:00:00,2,LTC,120.12
2022-04-06 01:00:00,3,LTC,119.99
2022-04-06 01:00:00,4,LTC,120.12
2022-04-06 01:00:00,5,LTC,120.005
2022-04-06 01:00:00,1,LUNA,117.33
2022-04-06 01:00:00,2,LUNA,117.25
2022-04-06 01:00:00,3,LUNA,117.3259
2022-04-06 01:00:00,4,LUNA,117.24
2022-04-06 01:00:00,5,LUNA,117.32
2022-04-06 01:00:00,1,ADA,1.148
2022-04-06 01:00:00,2,ADA,1.1483
2022-04-06 01:00:00,3,ADA,1.147108
2022-04-06 01:00:00,4,ADA,1.14698
2022-04-06 01:00:00,5,ADA,1.146685
2022-04-06 01:00:00,1,DOT,21.6
2022-04-06 01:00:00,2,DOT,21.6
2022-04-06 01:00:00,3,DOT,21.5881
2022-04-06 01:00:00,4,DOT,21.5761
2022-04-06 01:00:00,5,DOT,21.589
2022-04-06 02:00:00,1,BTC,45386.75
2022-04-06 02:00:00,2,BTC,45361.22
2022-04-06 02:00:00,3,BTC,45387.46
2022-04-06 02:00:00,4,BTC,45390
2022-04-06 02:00:00,5,BTC,45388
2022-04-06 02:00:00,1,ETH,3369.17
2022-04-06 02:00:00,2,ETH,3362.4
2022-04-06 02:00:00,3,ETH,3368.79
2022-04-06 02:00:00,4,ETH,3367.48
2022-04-06 02:00:00,5,ETH,3369.4
2022-04-06 02:00:00,1,LTC,120.3
2022-04-06 02:00:00,2,LTC,120.16
2022-04-06 02:00:00,3,LTC,120.23
2022-04-06 02:00:00,4,LTC,120.29
2022-04-06 02:00:00,5,LTC,120.22
2022-04-06 02:00:00,1,LUNA,116.97
2022-04-06 02:00:00,2,LUNA,116.98
2022-04-06 02:00:00,3,LUNA,116.9952
2022-04-06 02:00:00,4,LUNA,116.95
2022-04-06 02:00:00,5,LUNA,116.98
2022-04-06 02:00:00,1,ADA,1.158
2022-04-06 02:00:00,2,ADA,1.1576
2022-04-06 02:00:00,3,ADA,1.15724
2022-04-06 02:00:00,4,ADA,1.157882
